KOD_DIAGNOZY,NAZOV_DIAGNOZY,DOPLNUJUCE_INFO
C22.9    ,"Zhubný nádor pečene, bližšie neurčený",
C23      ,Zhubný nádor žlčníka,
C24.-    ,Zhubný nádor iných a bližšie neurčených častí žlčových ciest,"Nepatrí sem:  
Karcinóm vnútropečeňových žlčových ciest (C22.1)"
C24.0    ,Zhubný nádor mimopečeňových žlčových ciest,"Zhubný nádor:  
• ductus choledochus 
• ductus cysticus 
• ductus hepaticus 
• ductus hepaticus communis 
Zhubný nádor žlčových ciest, bližšie neurčený "
C24.1    ,Zhubný nádor ampulla Vateri,
C24.8    ,Zhubný nádor žlčových ciest presahujúci viaceré oblasti,"[Pozri poznámku 5 na začiatku tejto kapitoly] 
Zhubný nádor žlčových ciest, ktorého miesto vzniku nemožno zatriediť pod žiadnu z položiek C22.0 – C24.1 
Zhubný nádor postihujúci vnútropečeňové aj mimopečeňové žlčové cesty"
C24.9    ,"Zhubný nádor žlčových ciest, bližšie neurčený",
C25.-    ,Zhubný nádor podžalúdkovej žľazy,
C25.0    ,Zhubný nádor hlavy podžalúdkovej žľazy,
C25.1    ,Zhubný nádor tela podžalúdkovej žľazy,
C25.2    ,Zhubný nádor chvosta podžalúdkovej žľazy,
C25.3    ,Zhubný nádor vývodu podžalúdkovej žľazy,
C25.4    ,Zhubný nádor endokrinnej časti podžalúdkovej žľazy,Zhubný nádor Langerhansových ostrovčekov
C25.7    ,Zhubný nádor iných častí podžalúdkovej žľazy,Zhubný nádor hrdla pankreasu
C25.8    ,Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C25.9    ,"Zhubný nádor podžalúdkovej žľazy, bližšie neurčený",
C26.-    ,Zhubný nádor iných a nepresne určených tráviacich orgánov,"Nepatrí sem:  
Zhubný nádor pobrušnice a retroperitonea (C48.-)"
C26.0    ,Zhubný nádor bližšie neurčenej časti črevného traktu,Zhubný nádor bližšie neurčenej časti čreva
C26.1    ,Zhubný nádor sleziny,"Nepatrí sem:  
Folikulový lymfóm (C82.-) 
Hodgkinov lymfóm (Lymfogranulomatózu) (C81.-) 
Nefolikulový lymfóm (C83.-) 
Lymfóm zo zrelých T/NK-buniek (C84.-) 
Iné a bližšie neurčené lymfómy non-Hodgkinovho typu (C85.-)"
C26.8    ,Zhubný nádor tráviacej sústavy presahujúci viaceré oblasti,"[Pozri poznámku 5 na začiatku tejto kapitoly] 
Zhubný nádor tráviacich orgánov, ktorého miesto vzniku nemožno zatriediť pod žiadnu z položiek C15 – C26.1 
Nepatrí sem:  
Zhubný nádor kardio-ezofágového spojenia (C16.0)"
C26.9    ,Zhubný nádor na nepresne určenom mieste tráviacej sústavy,"Zhubný nádor bližšie neurčenej časti gastrointestinálneho traktu 
Zhubný nádor bližšie neurčenej časti tráviacej trubice, zažívacieho traktu"
C30-C39  ,Zhubné nádory dýchacích a vnútrohrudníkových orgánov,"Patrí sem:  
Zhubný nádor stredného ucha 
Nepatrí sem:  
Mezotelióm (C45.-)"
C30.-    ,Zhubný nádor nosovej dutiny a stredného ucha,
