402,2920C,450,2024-10-01,2025-08-19,P,Z075,""
403,5501C,400,2024-04-22,2025-08-23,P,Z107,""
404,0394C,50,2024-02-24,2025-08-05,P,Z038,""
405,3911C,450,2024-09-01,2025-05-08,P,Z069,""
406,8710B,250,2024-03-18,2025-04-28,P,Z094,""
407,11888,250,2024-01-10,2025-05-14,P,Z134,""
408,02324,250,2024-10-16,2025-01-24,P,Z024,""
409,0763C,200,2024-10-25,2025-07-01,P,Z024,""
410,4634B,250,2024-12-01,2025-03-31,P,A002,""
411,30610,150,2023-12-06,2025-05-27,P,Z069,""
412,26375,350,2024-10-14,2025-09-27,P,Z131,""
413,8172A,450,2024-07-17,2025-04-14,P,Z067,""
414,3440B,300,2024-06-26,2025-02-18,P,Z054,""
415,0927E,350,2024-07-21,2025-02-21,P,Z150,""
416,50934,450,2023-12-21,2025-02-15,P,Z119,""
417,3977B,150,2024-08-31,2025-03-26,P,Z143,""
418,2892D,50,2023-12-29,2025-08-08,P,Z103,""
419,4341B,300,2024-05-31,2025-04-11,P,Z021,""
420,4277C,50,2024-08-11,2025-01-21,P,Z147,""
421,0933E,350,2024-10-19,2025-01-13,P,Z099,""
422,47734,250,2024-11-27,2025-11-23,P,Z049,""
423,2087D,250,2024-06-14,2025-10-02,P,Z076,""
424,5407D,400,2024-02-16,2025-11-16,P,Z147,""
425,3129D,300,2024-01-27,2025-01-06,P,Z115,""
426,95520,100,2024-09-24,2025-09-06,P,Z073,""
427,1129E,50,2024-11-02,2025-01-19,P,Z118,""
428,8526C,50,2023-12-30,2025-02-18,P,Z068,""
429,64087,400,2023-12-08,2025-06-06,P,Z011,""
430,85761,300,2024-08-12,2025-06-10,P,Z161,""
431,9284A,450,2024-10-28,2025-11-17,P,Z110,""
432,2797B,100,2024-02-22,2025-12-03,P,Z172,""
433,22580,100,2024-01-16,2025-06-27,P,Z070,""
434,43122,200,2024-07-04,2025-08-08,P,Z024,""
435,1349E,250,2024-01-26,2025-07-31,P,Z036,""
436,1749D,150,2024-10-14,2025-02-25,P,Z172,""
437,9815D,200,2024-01-27,2025-05-03,P,Z159,""
438,8604D,200,2024-08-03,2025-10-09,P,Z122,""
439,1304E,500,2024-02-04,2025-01-17,P,Z142,""
